CAT1,CAT2,DA1,DA2,DA3,FAT
10,6,9,8,10,31
5,5,7,10,7,39
10,8,7,7,10,33
5,9,8,7,10,47
5,8,7,10,10,41
8,7,10,8,9,41
7,10,9,9,7,53
18,18,8,9,10,77
11,11,8,10,8,59
16,16,9,8,7,69
18,14,9,8,10,64
18,11,10,7,9,61
15,20,7,8,10,69
14,18,9,8,10,73
15,19,7,10,10,74
19,15,9,8,9,60
14,12,9,10,8,70
29,25,7,10,9,60
26,22,7,9,8,68
21,28,10,10,10,75
27,25,10,7,10,66
28,26,9,8,10,67
27,27,10,8,9,60
23,23,10,8,9,61
23,26,8,8,9,67
23,24,10,10,8,79
24,21,9,10,7,70
25,24,9,10,9,78
24,26,9,7,10,72
22,28,7,10,9,68
27,27,7,9,9,74
21,23,8,9,8,70
29,29,8,8,7,57
23,21,8,8,8,59
30,27,7,9,9,58
24,27,9,10,7,58
22,23,8,7,10,59
25,30,7,8,7,66
38,32,8,8,10,59
32,39,7,8,10,76
34,40,9,7,7,59
32,39,9,10,7,57
31,31,7,10,9,63
35,40,7,10,9,73
39,39,9,10,10,57
35,37,9,7,10,76
40,36,9,10,8,66
33,38,9,7,10,78
32,35,7,9,10,77
34,35,7,9,9,66
32,36,10,9,10,65
38,33,7,10,8,66
33,36,7,10,10,59
36,38,7,8,10,65
40,31,9,7,10,69
34,36,8,10,10,63
32,32,7,9,10,77
33,34,8,8,7,70
37,36,10,10,9,63
41,45,10,7,7,97
42,46,7,8,8,83
47,45,9,10,7,91
43,41,9,7,9,81
49,44,7,10,10,87
47,47,7,10,7,82
41,41,7,8,7,90
41,49,9,8,7,84
46,41,7,8,8,93
42,46,8,8,10,91
48,41,9,9,10,87
