id,gender,Cat 1,Cat 2,Fat,Attendance,CGPA
1,Female,42,30,19,89,2.57
2,Male,1,12,45,45,6.15
3,Female,45,16,54,7,0.67
4,Female,8,9,37,15,6.67
5,Female,31,16,21,71,6.67
6,Male,29,2,90,11,1.31
7,Male,38,10,93,17,0.84
8,Female,1,22,79,46,2.58
9,Male,17,22,50,93,5.07
10,Female,29,47,29,93,0.49
11,Female,10,2,39,24,0.42
12,Male,21,41,20,16,0.13
13,Male,17,44,77,82,0.78
14,Female,29,16,41,58,5.64
15,Male,46,41,42,72,6.39
16,Male,21,33,14,67,9.74
17,Female,16,1,80,89,9.57
18,Female,22,40,72,32,6.99
19,Female,16,4,16,93,0.8
20,Genderfluid,29,30,55,23,5.15
21,Male,11,22,17,2,9.01
22,Male,30,25,95,74,3.58
23,Female,34,25,66,44,4.98
24,Male,12,35,63,84,4.65
25,Female,42,45,29,76,5.92
26,Male,1,21,11,40,0.44
27,Male,13,25,67,51,9.15
28,Female,16,18,28,32,2.76
29,Male,30,20,11,86,5.6
30,Female,34,46,91,69,1.78
31,Female,49,19,55,92,7.87
32,Female,24,1,56,19,6.57
33,Male,28,20,37,31,7.66
34,Female,10,1,49,10,5.32
35,Female,22,37,10,57,9.54
36,Female,12,46,86,29,0.62
37,Bigender,47,30,51,40,5.03
38,Female,17,48,83,94,5.43
39,Female,49,29,58,16,7.31
40,Female,4,25,8,14,3.68
41,Male,6,25,3,19,1.61
42,Male,0,6,0,89,9.04
43,Male,45,36,76,10,5.96
44,Male,9,25,10,28,3.58
45,Female,29,49,84,49,3.97
46,Bigender,1,31,77,31,1.04
47,Female,24,20,31,58,1.11
48,Female,28,13,30,27,6.36
49,Female,2,3,17,3,0.35
50,Male,34,49,28,66,1.85
51,Male,10,13,49,2,6.96
52,Female,44,33,96,34,6.26
53,Male,47,50,23,52,3.09
54,Male,24,41,25,62,7.25
55,Male,9,35,76,7,7.53
56,Female,11,13,42,86,9.7
57,Genderfluid,49,10,26,44,6.51
58,Male,20,39,9,17,4.73
59,Female,35,32,3,36,2.01
60,Female,38,35,38,97,2.37
61,Female,35,36,39,52,5.55
62,Male,30,4,5,52,8.36
63,Male,24,38,88,50,2.0
64,Female,38,5,42,36,9.13
65,Male,10,33,10,1,5.96
66,Female,32,37,5,17,8.84
67,Male,3,11,18,70,6.33
68,Female,33,9,71,6,8.75
69,Male,2,47,14,30,0.32
70,Genderfluid,46,26,87,92,5.07
71,Male,43,30,12,65,1.55
72,Male,46,38,71,68,1.5
73,Female,3,7,15,41,1.79
74,Male,1,36,70,66,7.07
75,Male,27,1,35,5,9.58
76,Male,38,31,31,38,6.45
77,Agender,29,24,82,33,2.09
78,Female,18,35,100,91,7.1
79,Male,6,1,54,28,6.88
80,Male,6,24,33,13,7.01
81,Female,2,4,44,50,5.09
82,Female,46,11,37,20,1.26
83,Female,4,23,23,11,4.07
84,Female,37,11,37,39,6.4
85,Female,10,41,51,80,5.88
86,Male,22,24,44,96,7.45
87,Female,0,2,10,73,5.74
88,Polygender,5,0,55,91,7.4
89,Male,30,26,89,13,4.33
90,Female,50,6,70,85,5.12
91,Male,3,35,59,59,3.49
92,Female,46,41,5,73,9.89
93,Male,29,34,89,1,1.67
94,Female,35,36,46,41,3.93
95,Female,30,28,20,17,8.25
96,Male,38,27,29,100,2.63
97,Female,16,6,92,75,1.83
98,Female,15,38,28,58,2.46
99,Genderqueer,23,5,53,77,9.74
100,Female,49,26,9,55,9.82
101,Female,15,35,50,91,2.29
102,Genderqueer,33,50,75,11,1.35
103,Male,7,46,12,41,4.92
104,Female,13,5,12,66,1.49
105,Male,9,41,98,37,4.36
106,Female,4,22,19,19,8.73
107,Genderfluid,19,39,66,32,4.07
108,Male,16,25,95,24,5.66
109,Female,12,30,71,6,5.14
110,Female,42,4,60,11,0.35
111,Male,25,22,12,53,8.6
112,Male,29,26,84,15,6.58
113,Male,32,20,41,53,9.0
114,Male,44,50,0,73,2.62
115,Female,9,22,96,21,7.82
116,Female,3,6,52,39,1.79
117,Female,46,9,59,26,4.11
118,Male,46,36,26,87,3.21
119,Male,19,46,67,86,3.03
120,Female,24,29,65,4,2.3
121,Male,22,0,10,73,9.39
122,Female,33,39,66,31,4.67
123,Female,44,0,35,91,4.64
124,Female,5,45,27,19,0.2
125,Female,37,15,50,60,5.09
126,Agender,35,18,45,32,5.45
127,Female,40,50,20,79,9.33
128,Male,17,10,25,94,1.42
129,Female,27,2,47,7,4.14
130,Male,28,17,89,93,6.45
131,Male,31,12,7,61,5.97
132,Female,47,34,71,33,0.86
133,Female,25,43,70,46,3.33
134,Male,31,46,91,34,4.52
135,Male,24,6,70,89,8.75
136,Non-binary,13,33,42,12,3.75
137,Genderfluid,29,8,28,66,1.78
138,Female,22,6,55,99,9.7
139,Non-binary,24,18,52,79,0.33
140,Male,46,37,100,27,6.06
141,Female,0,9,52,77,3.42
142,Bigender,20,46,50,81,4.06
143,Female,45,2,29,45,5.05
144,Female,13,28,42,3,2.27
145,Female,50,12,90,84,0.05
146,Female,11,11,29,82,1.44
147,Female,20,35,25,81,6.03
148,Female,39,48,68,66,7.36
149,Female,8,30,64,94,9.99
150,Male,19,8,13,2,0.74
151,Female,40,46,87,4,1.13
152,Male,17,14,14,22,0.66
153,Female,0,19,59,23,0.71
154,Female,26,3,56,71,0.22
155,Female,39,3,99,74,3.55
156,Male,16,39,95,24,7.87
157,Agender,29,44,13,45,6.72
158,Female,18,46,70,56,8.81
159,Male,19,30,41,31,8.77
160,Female,31,28,82,20,7.7
161,Male,40,4,54,5,5.44
162,Male,11,50,38,95,1.5
163,Male,1,32,33,88,8.81
164,Male,30,3,15,74,0.45
165,Male,42,41,96,40,2.91
166,Female,29,15,7,42,9.47
167,Male,44,5,11,58,1.52
168,Male,37,21,65,75,1.42
169,Male,11,46,31,50,1.61
170,Male,10,10,49,28,7.62
171,Female,7,23,86,96,3.68
172,Male,28,49,12,75,8.67
173,Male,2,3,7,38,9.51
174,Male,21,10,93,21,7.04
175,Male,36,34,23,8,7.59
176,Male,20,27,76,60,5.82
177,Female,39,25,58,78,4.61
178,Female,25,41,78,9,2.01
179,Female,21,34,76,29,5.08
180,Female,7,44,26,29,7.08
181,Male,8,13,99,69,2.67
182,Non-binary,19,33,94,80,4.11
183,Male,38,43,66,8,1.25
184,Male,22,42,33,73,8.92
185,Female,13,32,77,80,3.86
186,Female,14,31,5,97,9.1
187,Male,5,35,76,37,8.54
188,Female,11,44,93,37,9.17
189,Male,35,38,53,4,8.77
190,Male,3,18,81,19,3.41
191,Male,36,12,13,78,4.39
192,Genderqueer,9,38,39,71,4.05
193,Female,31,17,77,76,2.53
194,Male,43,14,17,28,5.28
195,Female,9,26,37,13,7.41
196,Female,17,46,94,4,3.2
197,Female,13,16,49,12,0.62
198,Female,29,44,27,7,7.38
199,Female,50,11,25,22,3.76
200,Female,11,31,25,56,0.21
201,Male,29,9,80,20,6.49
202,Male,24,49,12,93,4.71
203,Male,28,25,23,54,0.26
204,Male,50,48,45,81,6.54
205,Male,17,3,13,67,6.83
206,Male,36,19,47,24,7.95
207,Female,14,48,38,56,5.43
208,Male,25,29,72,98,9.45
209,Male,23,29,44,56,1.77
210,Male,21,25,11,40,8.2
211,Female,11,20,38,55,5.43
212,Male,4,29,21,74,8.63
213,Male,14,32,81,48,4.39
214,Female,40,6,90,11,5.05
215,Male,8,27,38,57,6.95
216,Male,31,40,82,36,7.1
217,Bigender,13,20,21,42,1.57
218,Female,46,5,8,20,6.02
219,Male,35,0,70,82,7.51
220,Male,27,48,85,98,7.76
221,Male,41,23,10,78,9.04
222,Female,27,19,59,72,6.14
223,Male,1,41,73,41,4.37
224,Female,43,33,9,59,6.63
225,Male,5,21,25,67,4.9
226,Male,4,34,30,60,9.88
227,Female,16,11,79,9,3.65
228,Male,47,47,65,19,8.56
229,Male,44,21,44,74,2.14
230,Female,41,5,39,56,6.58
231,Male,15,37,76,30,1.86
232,Female,42,30,76,99,6.94
233,Female,41,2,95,61,9.03
234,Female,29,46,12,99,0.65
235,Female,22,48,20,40,7.45
236,Male,42,33,65,27,0.86
237,Female,25,21,29,9,7.68
238,Male,46,40,58,74,9.42
239,Male,4,34,28,35,8.91
240,Male,44,16,31,62,3.02
241,Male,30,0,20,25,7.37
242,Female,14,37,65,80,6.73
243,Male,26,21,67,19,0.43
244,Male,13,48,67,16,5.39
245,Female,32,8,91,84,3.71
246,Female,36,6,6,25,8.08
247,Male,27,45,44,44,8.35
248,Female,21,8,39,94,8.22
249,Male,9,0,8,71,9.61
250,Male,19,25,50,88,1.71
251,Male,45,7,36,19,1.75
252,Female,1,45,13,33,7.39
253,Male,35,11,52,95,1.25
254,Female,28,38,90,60,6.99
255,Male,10,34,65,100,9.73
256,Male,18,4,8,70,6.28
257,Female,16,37,12,49,9.71
258,Male,45,42,64,50,0.56
259,Female,35,5,36,38,4.56
260,Female,42,17,62,12,5.82
261,Female,20,17,75,71,9.51
262,Female,41,34,64,96,3.99
263,Male,5,31,4,64,1.85
264,Female,15,18,100,54,1.07
265,Female,23,40,85,48,7.57
266,Female,39,8,37,38,0.81
267,Female,10,20,90,51,7.12
268,Female,15,37,56,33,1.62
269,Male,43,5,13,65,8.54
270,Male,4,16,66,44,0.18
271,Female,10,42,56,91,7.9
272,Male,36,6,71,5,1.63
273,Female,40,26,76,52,8.58
274,Male,24,10,26,29,0.72
275,Female,1,21,63,97,1.05
276,Female,8,6,77,95,8.88
277,Male,25,10,24,58,3.82
278,Male,32,49,78,88,9.34
279,Female,22,39,82,88,2.01
280,Female,25,38,67,80,1.04
281,Female,17,47,12,88,5.04
282,Female,48,36,16,2,6.74
283,Male,46,31,98,43,2.12
284,Female,1,0,63,23,3.18
285,Male,17,9,39,34,8.0
286,Female,42,24,62,12,8.7
287,Male,23,16,76,32,7.22
288,Male,32,37,39,98,7.77
289,Female,18,31,80,66,6.99
290,Bigender,11,19,42,52,6.93
291,Male,24,31,11,55,1.62
292,Male,43,33,76,59,5.54
293,Female,46,18,50,1,8.97
294,Male,32,25,98,49,6.42
295,Female,46,46,69,85,6.2
296,Female,45,17,47,57,6.27
297,Male,19,29,83,65,4.32
298,Male,43,21,76,39,7.84
299,Male,45,15,98,15,6.85
300,Male,2,40,91,19,2.31
301,Male,33,14,15,54,9.54
302,Male,46,50,59,52,9.87
303,Female,1,50,99,57,4.2
304,Male,19,49,13,38,2.14
305,Female,44,11,69,44,7.47
306,Female,6,44,36,25,5.15
307,Male,49,24,38,6,7.65
308,Female,2,39,93,90,6.47
309,Female,37,14,36,27,7.01
310,Female,10,32,22,1,0.74
311,Female,46,10,24,15,1.96
312,Male,2,21,24,23,1.18
313,Male,35,26,29,44,1.4
314,Male,5,28,47,82,4.96
315,Female,36,41,26,47,7.58
316,Female,17,37,97,18,4.97
317,Non-binary,44,21,54,51,8.56
318,Male,10,15,65,10,9.81
319,Male,50,39,89,90,5.5
320,Female,38,23,3,86,4.49
321,Male,5,23,91,54,1.71
322,Female,40,50,14,96,2.36
323,Genderqueer,44,39,69,72,4.0
324,Female,40,5,85,54,8.27
325,Female,38,31,35,12,9.03
326,Female,48,47,55,4,1.04
327,Female,48,25,99,13,7.94
328,Female,36,18,46,65,6.29
329,Agender,18,35,38,12,0.49
330,Agender,19,50,15,18,6.55
331,Female,18,21,94,45,0.32
332,Polygender,0,16,87,84,0.36
333,Male,50,13,23,39,4.37
334,Male,14,28,41,31,7.84
335,Genderfluid,31,5,4,73,4.59
336,Bigender,16,20,74,17,7.53
337,Male,22,9,31,42,9.45
338,Female,17,9,42,80,0.92
339,Genderfluid,3,47,32,28,7.18
340,Female,47,35,26,25,6.97
341,Non-binary,41,34,9,74,8.84
342,Female,19,38,75,6,2.73
343,Male,10,33,89,68,4.89
344,Male,23,26,8,74,1.4
345,Genderfluid,41,39,31,36,9.5
346,Female,5,47,46,44,0.83
347,Female,9,2,49,90,7.85
348,Female,41,45,14,85,5.32
349,Female,12,50,34,22,9.5
350,Female,9,26,27,23,0.88
351,Male,43,23,25,64,1.88
352,Bigender,14,38,34,34,2.21
353,Female,16,9,35,24,6.51
354,Female,40,15,100,41,1.05
355,Male,11,11,45,90,1.43
356,Female,15,8,52,92,7.21
357,Male,25,12,78,24,4.46
358,Male,13,16,34,68,4.07
359,Polygender,14,20,54,58,4.58
360,Female,20,22,59,71,0.32
361,Male,36,19,25,58,10.0
362,Female,29,15,43,55,0.69
363,Female,36,23,29,49,9.44
364,Male,19,1,94,77,2.49
365,Female,38,35,39,53,1.58
366,Polygender,40,40,35,60,9.23
367,Female,32,40,43,3,7.0
368,Male,47,4,22,60,5.8
369,Male,38,11,75,5,1.5
370,Male,13,5,38,58,4.37
371,Female,7,36,7,63,6.02
372,Female,50,24,73,67,8.81
373,Male,20,25,32,67,9.81
374,Female,2,39,79,13,1.6
375,Male,32,4,7,3,0.54
376,Male,19,23,9,4,0.62
377,Male,15,0,64,56,5.34
378,Bigender,44,36,57,23,1.62
379,Male,5,0,65,75,6.32
