CAT1,CAT2,DA1,DA2,DA3,FAT,LAB1,LAB2,LAB3,LAB4,LAB5,LAB6,LFAT
6,6,7,9,8,34,8,9,8,9,9,10,30
5,5,7,9,9,30,10,10,8,8,10,9,32
7,6,9,7,9,34,9,8,8,8,9,9,31
6,10,10,7,10,49,7,10,7,8,7,8,32
9,5,9,8,9,51,7,9,8,9,10,9,32
9,7,7,9,7,55,8,8,8,10,10,7,32
6,8,10,10,8,45,9,7,9,8,9,9,32
5,7,8,8,10,52,10,8,7,7,9,8,31
5,5,9,7,7,47,8,8,8,10,10,9,30
8,10,7,8,9,54,9,9,7,10,8,8,32
6,9,8,8,7,49,10,9,8,8,9,8,32
7,10,9,8,9,52,8,8,8,9,10,8,31
8,7,7,7,7,46,7,10,8,10,7,7,31
8,8,9,8,10,55,8,7,10,8,8,8,30
7,5,10,9,10,54,8,9,10,7,7,10,32
6,10,7,8,7,52,7,7,9,8,10,10,32
9,5,7,9,9,50,10,7,7,10,10,9,30
7,5,10,9,7,54,9,8,8,7,10,8,30
10,5,8,10,8,52,7,8,10,7,8,7,32
9,6,10,10,7,45,9,8,10,9,10,9,31
8,9,7,7,10,51,10,7,8,7,8,8,30
8,10,10,7,7,44,8,10,7,7,10,10,30
5,10,9,8,9,44,7,7,8,10,7,10,31
10,8,10,9,9,44,9,8,7,8,7,8,32
10,10,7,10,10,49,9,10,9,10,9,10,32
8,7,10,9,10,48,8,10,10,9,7,7,31
5,10,8,9,9,41,8,8,7,8,9,7,32
5,10,10,10,8,45,7,7,9,7,9,7,32
9,6,8,7,10,49,8,7,10,9,9,8,31
6,6,7,8,8,54,9,7,8,9,8,10,32
9,10,8,7,8,40,7,9,7,10,9,9,31
6,8,8,8,8,55,9,7,8,9,10,8,32
5,6,10,10,9,45,10,9,7,9,7,7,31
6,8,7,7,8,47,8,8,8,7,8,10,32
8,5,10,9,8,54,9,8,8,8,9,8,30
6,9,8,7,10,52,9,8,9,7,10,8,31
9,7,8,10,10,41,8,10,9,10,10,9,32
9,9,10,10,10,45,7,7,8,8,7,10,31
8,5,9,8,7,45,8,8,10,8,7,9,32
8,7,8,7,8,40,7,10,7,7,7,10,32
5,8,10,10,8,53,10,8,7,9,9,8,32
9,8,7,9,10,53,7,10,8,7,9,7,30
7,10,7,8,8,41,8,7,7,7,7,10,31
10,5,8,8,10,54,9,9,9,9,9,10,32
7,8,8,7,10,45,10,7,7,9,10,10,32
9,10,9,7,9,45,10,9,10,10,9,9,30
10,10,8,10,8,43,7,10,9,10,7,7,32
5,10,9,9,9,45,9,10,9,8,7,9,31
8,10,9,10,10,41,9,8,7,9,9,8,30
9,10,8,7,9,48,9,8,10,7,9,10,30
8,6,8,9,8,54,10,8,7,9,8,7,30
8,9,8,8,7,44,9,9,7,9,9,7,30
5,7,9,10,10,48,8,9,8,7,7,8,31
7,9,10,9,8,55,7,10,10,10,7,9,30
8,8,9,10,7,45,10,10,9,8,8,10,31
10,7,10,7,8,55,10,8,7,8,10,10,32
9,6,9,8,9,50,9,8,10,7,7,8,30
9,5,7,8,10,50,8,10,9,10,9,7,30
