CAT1,CAT2,DA1,DA2,DA3,FAT,LAB1,LAB2,LAB3,LAB4,LAB5,LAB6,LFAT,REV1,REV2,REV3
10,8,9,9,10,30,7,8,9,8,9,8,32,20,27,45
5,5,10,7,8,30,10,9,9,8,8,7,30,17,26,43
8,10,9,7,8,38,8,10,7,7,9,9,31,19,28,43
7,10,9,9,10,45,7,10,9,8,7,8,32,18,30,46
8,7,8,10,8,50,10,10,8,7,7,7,31,20,27,43
10,10,7,7,7,41,8,7,7,10,8,8,32,20,27,44
9,9,10,7,9,42,8,10,9,7,8,8,32,19,26,44
15,17,10,8,7,59,8,8,7,10,9,10,31,20,27,48
12,18,10,8,10,69,7,9,7,9,9,7,30,15,28,47
13,17,10,10,10,75,8,8,10,7,8,7,32,20,30,48
18,13,7,10,9,74,7,9,9,8,10,7,32,15,30,48
12,19,8,7,8,78,7,7,10,10,7,7,32,16,29,48
16,17,10,7,8,79,8,10,9,7,7,10,32,16,25,47
11,11,9,10,9,61,10,7,10,8,10,9,31,18,25,47
17,14,7,9,7,60,10,7,9,7,10,7,36,19,23,47
18,16,10,7,8,58,8,9,8,9,9,8,33,18,27,47
18,11,7,10,7,61,10,8,9,9,8,10,33,18,29,48
29,21,7,9,8,77,8,9,10,10,8,7,34,20,27,48
23,29,8,8,10,76,9,9,9,10,9,8,34,16,30,48
22,25,8,10,9,63,8,7,9,10,8,8,34,15,24,47
21,26,8,8,8,56,10,7,7,7,10,10,36,17,23,48
27,30,8,8,8,56,9,8,10,9,8,7,36,17,27,47
24,29,8,9,10,71,7,9,8,7,9,8,34,18,27,47
24,29,9,7,9,77,8,8,9,7,7,9,35,16,29,48
30,28,8,9,8,68,10,8,9,8,8,9,36,16,28,48
21,28,9,9,7,56,8,9,10,10,9,9,34,19,29,47
25,28,7,9,9,74,7,7,10,7,9,8,36,18,23,48
24,22,10,7,9,79,9,8,9,7,9,10,33,15,25,48
21,27,7,7,10,70,10,9,10,7,8,10,33,16,29,48
30,27,10,10,9,59,7,8,8,10,10,9,35,19,26,48
22,27,10,7,10,79,8,8,7,8,8,10,36,15,30,48
25,28,8,8,9,57,7,7,8,10,10,9,37,16,29,48
29,27,7,7,8,71,8,9,10,10,7,9,34,18,26,47
28,26,9,8,7,64,10,8,9,10,9,10,36,16,24,47
24,24,7,8,9,63,7,8,10,8,8,7,36,20,25,48
27,23,9,7,9,59,10,9,10,10,8,8,36,19,25,48
27,21,8,8,8,73,9,7,7,9,8,8,35,19,26,48
25,21,7,10,10,70,10,10,10,7,9,8,33,19,29,47
32,33,7,10,7,63,7,9,7,10,7,7,36,16,29,47
39,40,8,8,7,61,9,10,10,9,10,8,37,19,28,48
32,31,7,8,10,75,10,7,7,8,8,7,37,18,25,47
40,32,10,7,8,64,10,10,9,10,9,10,34,17,28,48
33,36,10,10,8,74,8,10,7,10,9,7,34,20,23,47
39,35,10,7,7,58,8,8,9,8,7,9,37,18,30,48
35,37,9,7,7,76,10,10,8,8,8,7,34,19,30,48
31,33,8,9,10,68,7,10,9,7,8,7,35,20,25,47
38,34,9,9,9,57,7,7,7,8,10,9,34,16,25,47
38,40,7,7,7,56,8,10,8,10,7,8,37,17,28,48
39,35,9,9,8,66,8,7,8,8,9,10,35,16,26,48
38,36,9,8,7,70,10,9,10,8,9,7,34,17,30,48
39,33,7,8,9,75,10,10,8,10,7,8,33,20,28,47
35,39,10,8,7,72,8,10,10,7,7,9,33,20,26,47
36,34,10,10,7,70,8,10,9,8,10,7,36,17,24,47
39,34,8,8,10,74,8,10,9,10,7,10,34,17,23,47
39,37,10,8,10,58,10,7,9,10,7,9,33,18,27,48
35,37,9,10,9,78,8,10,8,9,7,7,37,16,30,47
34,32,9,9,8,77,10,10,10,9,8,10,38,20,27,47
39,31,10,8,9,57,8,7,9,8,8,8,38,17,29,48
40,37,9,7,9,65,7,8,10,7,7,9,39,15,23,47
44,42,8,7,7,82,9,10,10,8,9,9,40,19,29,48
48,43,10,10,10,90,8,7,10,9,8,10,39,17,24,48
49,48,8,8,7,93,8,10,8,7,8,9,40,16,23,47
43,45,9,8,9,81,9,10,10,8,10,8,38,15,25,48
48,44,9,10,8,80,9,8,9,9,8,8,39,19,30,48
47,44,9,7,10,93,9,8,7,8,9,8,38,16,29,48
50,43,9,10,9,80,8,7,10,10,7,8,38,18,23,48
45,49,8,8,7,81,10,7,9,7,10,8,38,19,28,48
45,46,7,8,9,84,9,8,7,7,9,7,40,16,26,47
43,45,7,8,9,83,10,10,10,10,7,7,40,18,26,48
47,44,9,10,7,94,9,9,7,9,9,8,39,18,24,47
